drg_code	total_revenue_gap	total_discharges	gap_per_discharge	weighted_efficiency
871	39584581984.99	561795	70460.901192	0.176527
853	14168421658.00	78526	180429.687721	0.178159
291	14067296077.00	319702	44001.276429	0.179762
177	8793157384.00	166662	52760.421596	0.207834
267	6615328199.00	39207	168728.242380	0.196484
274	6447831632.00	52963	121742.190435	0.169437
3	6118580445.00	6835	895183.678859	0.184109
193	6027955064.00	125793	47919.638326	0.163897
870	5471008276.00	21332	256469.542284	0.179800
470	5178159593.00	71939	71979.866178	0.159854
280	5150205370.00	83150	61938.729645	0.163631
64	5034357278.00	63186	79675.201437	0.159751
481	4959985122.00	62714	79088.961348	0.162994
266	4420785428.00	20681	213760.718921	0.201104
454	4327197536.00	19004	227699.302042	0.174489
872	4138204746.00	104379	39645.951255	0.156253
189	4048156559.00	90117	44921.119866	0.173608
329	4041413709.00	23889	169174.670727	0.177380
698	4040720743.00	69521	58122.304671	0.175805
682	4001418545.00	76036	52625.316232	0.174093
247	3878439038.00	39950	97082.328861	0.119498
246	3824560952.00	27505	139049.661952	0.141321
25	3661423348.00	20387	179595.985089	0.172905
219	3635949128.00	11687	311110.561136	0.184786
377	3557033594.00	52419	67857.715599	0.169478
460	3497900070.00	26777	130630.767823	0.174715
65	3247899123.00	70626	45987.301036	0.134860
640	3222434107.00	69067	46656.639307	0.177751
286	3151766639.00	34931	90228.354155	0.157423
330	3108432212.00	33469	92874.965251	0.161673
378	3081480204.00	78557	39226.042288	0.151781
689	3076805209.00	75927	40523.202668	0.171894
522	2971902458.00	36951	80428.201077	0.161887
392	2867656190.00	86037	33330.499553	0.141221
690	2592196289.00	85997	30142.868809	0.158947
981	2555965027.00	15028	170080.185454	0.186084
208	2549977847.00	23460	108694.707886	0.162630
683	2546532400.00	77499	32858.906567	0.162816
455	2491746395.00	15538	160364.679817	0.175620
480	2415497122.00	22185	108879.744061	0.172948
23	2364182704.00	11156	211920.285407	0.181861
270	2360282499.00	11355	207862.835667	0.174503
4	2142189973.00	3963	540547.558163	0.179115
190	2132236216.00	53583	39793.147379	0.168846
252	2109974391.00	15600	135254.768654	0.176847
236	2053836813.00	12870	159583.279953	0.152586
18	2017762455.01	1303	1548551.385272	0.211140
314	2000103159.00	25782	77577.502094	0.183145
308	1989970493.00	44062	45162.963392	0.162796
235	1980864587.00	8572	231085.462786	0.163249
652	1974559525.00	6771	291620.074583	0.083274
233	1960379678.00	6657	294483.953432	0.159353
312	1850756623.00	49424	37446.516328	0.145826
467	1783460746.00	14387	123963.352054	0.173073
641	1775199241.00	59761	29704.978849	0.157406
1	1767380538.00	1328	1330858.838855	0.182280
309	1756896478.00	60037	29263.562103	0.147239
220	1752678718.00	8365	209525.250209	0.172762
603	1652299852.00	55702	29663.205127	0.173130
552	1627928469.00	40385	40310.225802	0.144603
287	1560820021.00	29116	53606.952226	0.121032
391	1506599190.00	30170	49936.996685	0.167005
163	1426949636.00	8521	167462.696397	0.184386
100	1326596571.00	16384	80969.028992	0.163009
243	1325717594.00	14941	88730.178301	0.162462
253	1314175333.00	12651	103879.166311	0.163374
281	1295696080.00	30752	42133.717482	0.132102
242	1292683685.00	10272	125845.374319	0.173957
207	1241402783.00	5088	243986.396030	0.186392
472	1179190448.00	10395	113438.234536	0.167197
234	1173005662.00	6031	194496.047422	0.151666
194	1172164133.00	37586	31186.189885	0.155283
393	1165575830.00	17726	65755.152319	0.169853
637	1161488959.00	21445	54161.294428	0.166670
164	1157527028.00	11737	98622.052313	0.169988
216	1143818263.00	2977	384218.428955	0.189140
885	1133934371.00	39666	28587.061236	0.275551
811	1129157552.00	20189	55929.345287	0.164848
178	1117831997.00	32920	33956.014490	0.192967
699	1112960645.00	28536	39001.985036	0.169068
269	1098557991.00	7418	148093.555001	0.182900
175	1098006660.00	20561	53402.395798	0.163397
854	1055512849.00	13252	79649.324555	0.155902
673	1034165408.00	7485	138165.051169	0.179334
483	1026407564.00	10770	95302.466481	0.155550
389	1001432269.00	30766	32549.966489	0.144861
271	998153157.00	7423	134467.621851	0.168133
812	985660038.00	27123	36340.376728	0.158701
468	958760253.00	9743	98405.034692	0.166457
69	936915701.00	21417	43746.355745	0.111637
493	934508318.00	9483	98545.641464	0.153023
394	915943460.00	23559	38878.707076	0.151711
650	874656923.00	2483	352258.124446	0.118427
57	872722480.00	19889	43879.656091	0.202025
101	861165767.00	21415	40213.204156	0.147868
638	860048967.00	25195	34135.700218	0.161118
331	858852039.00	12781	67197.561928	0.150103
273	833806918.00	4795	173890.910949	0.157312
418	805172948.00	10685	75355.446701	0.133503
521	795662441.00	7579	104982.509698	0.175939
453	760898076.00	1679	453185.274568	0.168903
834	717271463.00	2257	317798.610102	0.170129
441	708427534.00	9327	75954.490619	0.175042
884	706378451.00	13767	51309.541004	0.195956
432	706015453.00	8313	84929.081318	0.162576
326	678840797.00	3229	210232.516878	0.182455
322	672853779.00	6941	96939.025933	0.118561
91	664200834.00	9348	71052.720796	0.170609
660	661517878.00	11727	56409.813081	0.149413
56	658510248.00	8130	80997.570480	0.192572
5	645426616.00	926	697004.984881	0.154969
310	636301491.00	27083	23494.498062	0.121644
917	631981816.00	9955	63483.858965	0.172059
180	622863010.00	8262	75388.890099	0.154383
70	621122204.00	9957	62380.456362	0.178066
435	616938307.00	7529	81941.600080	0.149634
27	614665481.00	5531	111130.985536	0.159172
82	602199615.00	6116	98462.984794	0.167420
840	599113193.00	3726	160792.590714	0.164339
813	594300495.00	9468	62769.380545	0.188247
92	584952792.00	13383	43708.644698	0.153374
551	576522991.00	8452	68211.428183	0.159533
907	569575138.00	3515	162041.291038	0.179812
919	568645920.00	7366	77198.740157	0.176690
602	549744481.00	11518	47729.161400	0.184591
305	546482931.00	16119	33903.029406	0.128060
299	524911109.00	8262	63533.177076	0.165127
313	521002869.00	15366	33906.213003	0.129073
300	518331219.00	12414	41753.763412	0.159927
516	502727476.00	6147	81784.199772	0.155522
26	494099656.00	3770	131060.916711	0.167893
563	492755822.00	13388	36805.782940	0.142596
86	492121695.00	8229	59803.341232	0.139375
374	491332586.00	5602	87706.637986	0.168710
166	485815001.00	3137	154866.114441	0.173925
482	469854646.00	7192	65330.178810	0.150558
321	458620106.00	3243	141418.472402	0.135065
327	447920102.00	4114	108877.030141	0.164092
856	446964801.00	2611	171185.293374	0.186746
445	444047624.00	9172	48413.391191	0.146002
39	434504782.00	8892	48864.685335	0.133950
388	434259373.00	7859	55256.314162	0.171048
229	433100471.00	3290	131641.480547	0.165411
202	431974906.00	11312	38187.314887	0.151311
444	426463551.00	5706	74739.493691	0.155191
14	420916530.00	869	484368.849252	0.198845
191	414466953.00	13069	31713.746499	0.161611
85	408604249.00	4447	91883.123229	0.165167
66	407064321.00	11368	35807.910011	0.110689
83	405719547.00	6587	61593.980112	0.149965
659	398880362.00	3921	101729.243050	0.170681
982	395154750.00	4109	96168.106595	0.170418
24	395140167.00	2831	139576.180502	0.180936
215	393475086.00	905	434779.100552	0.167301
7	390835869.00	408	957931.051471	0.124693
405	387261559.00	1724	224629.674594	0.191388
71	381405111.00	9428	40454.509016	0.162142
457	379483667.00	1647	230409.026715	0.193278
417	372665225.00	3500	106475.778571	0.140963
643	368753121.00	5884	62670.482835	0.174512
205	366820301.00	4182	87714.084409	0.163358
228	361511391.00	1713	211039.924694	0.175333
406	360801217.00	2933	123014.393795	0.171856
54	357362200.00	5503	64939.523896	0.155423
165	355495490.00	4488	79210.225045	0.159663
315	349430464.00	8548	40878.622368	0.155439
264	346438482.00	2304	150363.924479	0.164219
862	340049004.00	4954	68641.300767	0.177243
176	336402881.00	10016	33586.549621	0.144507
948	336128118.00	10667	31511.026343	0.156167
36	325938786.00	4974	65528.505428	0.166285
371	325613101.00	4997	65161.717230	0.173691
847	325266211.00	6230	52209.664687	0.180195
239	323945398.00	1760	184059.885227	0.174499
244	316512454.00	4354	72694.638034	0.156285
536	314768635.00	9631	32682.861074	0.140054
372	308519339.00	8210	37578.482217	0.166078
543	301598365.00	7581	39783.454030	0.167299
987	301215935.00	1974	152591.659068	0.176290
356	299886545.00	1891	158586.221576	0.183958
16	299410077.00	1374	217911.264192	0.201817
897	295438877.00	12280	24058.540472	0.222933
956	293555916.00	1712	171469.577103	0.162637
464	287832163.00	2100	137062.934762	0.161455
617	285708129.00	4100	69684.909512	0.172720
149	281690718.00	7094	39708.305328	0.113917
519	273519660.00	3375	81042.862222	0.165803
196	261726555.00	3222	81231.084730	0.171170
74	254911186.00	5286	48223.833901	0.141291
184	254103584.00	5256	48345.430746	0.141415
473	251674525.00	2759	91219.472635	0.155358
808	249198227.00	2143	116284.753616	0.156937
466	248482002.00	1058	234860.115312	0.164916
439	246095932.00	6683	36824.170582	0.142841
38	237317166.00	3567	66531.305299	0.151924
282	235290483.00	6378	36890.950611	0.109636
644	226049809.00	5538	40817.950343	0.162014
857	219568632.00	2437	90097.920394	0.160624
846	216909469.00	1931	112330.123770	0.197368
390	214587347.00	9246	23208.668289	0.128091
304	212588603.00	4587	46345.891214	0.162439
35	211948268.00	2488	85188.210611	0.165122
542	211761209.00	3002	70540.042971	0.177989
375	210853027.00	3821	55182.681759	0.146661
463	210503052.00	687	306409.100437	0.148178
809	210466099.00	3466	60723.052222	0.154064
654	207795974.00	1546	134408.780078	0.153914
20	207697417.00	684	303651.194444	0.231433
605	203754943.00	4888	41684.726473	0.142702
62	199989471.00	2337	85575.297818	0.140163
657	199832606.00	2216	90177.168773	0.143651
920	195497576.00	4784	40864.877926	0.168019
908	192327292.00	2290	83985.717031	0.168393
438	189620550.00	2798	67770.032166	0.167162
283	188537654.00	2380	79217.501681	0.168893
661	187771087.00	3759	49952.404097	0.120512
837	184777488.00	978	188934.036810	0.216498
41	184541951.00	1805	102239.308033	0.148916
200	183284077.00	3709	49416.035859	0.138828
292	179966019.00	5814	30953.907637	0.180083
459	176779588.00	710	248985.335211	0.196503
442	172914365.00	4274	40457.268367	0.159837
896	171926142.00	2700	63676.348889	0.190212
651	169683249.00	545	311345.411009	0.105022
492	168218817.00	1135	148210.411454	0.157800
328	167350331.00	2428	68925.177512	0.159526
957	166559762.00	622	267780.967846	0.213232
494	166252452.00	1928	86230.524896	0.140448
268	156787494.00	542	289275.819188	0.196088
254	154764659.00	2295	67435.581264	0.155890
419	148808967.00	2241	66402.930388	0.115546
928	148649647.00	580	256292.494828	0.203305
336	148493290.00	1722	86233.037166	0.157273
478	148209466.00	1356	109299.016224	0.141833
621	147212765.00	2571	57258.951770	0.151068
841	147083885.00	1642	89576.056638	0.143846
40	146361120.00	860	170187.348837	0.167567
469	144676244.00	1134	127580.462081	0.181667
12	132494424.00	745	177844.864430	0.176608
517	125161814.00	1924	65052.917879	0.143156
141	115718680.00	1081	107047.807586	0.160469
433	112865034.00	2457	45936.114774	0.149863
471	108466847.00	451	240502.986696	0.167193
554	108233879.00	3335	32453.936732	0.165394
186	106507002.00	1684	63246.438242	0.157044
823	103369735.00	328	315151.631098	0.151077
11	103303529.00	480	215215.685417	0.192731
456	102680057.00	235	436936.412766	0.179286
580	100615649.00	1202	83706.862729	0.139500
354	100447427.00	1229	81731.022783	0.142027
167	100049291.00	1252	79911.574281	0.164434
614	98831457.00	899	109934.879867	0.167786
240	98246244.00	1016	96699.059055	0.169972
515	95452616.00	779	122532.241335	0.164752
199	94149967.00	1391	67685.094896	0.169317
658	91034049.00	1353	67283.110865	0.146544
863	90707740.00	2414	37575.700083	0.176471
206	89342859.00	1595	56014.331661	0.124483
29	88810435.00	607	146310.436573	0.180004
103	87876002.00	1941	45273.571355	0.113245
947	79607296.00	1274	62486.103611	0.151012
556	79534449.00	2365	33629.788161	0.158920
226	79364299.00	281	282435.227758	0.171398
217	79211272.00	386	205210.549223	0.204643
545	77325969.00	666	116105.058559	0.195614
963	77065376.00	634	121554.220820	0.188875
674	76619059.00	859	89195.644936	0.184425
183	75791191.00	1152	65790.964410	0.160548
964	74479082.00	1153	64595.908066	0.161746
520	74221763.00	1094	67844.390311	0.137366
61	71797162.00	532	134957.071429	0.142335
895	70018278.00	3587	19520.010594	0.378264
535	68203474.00	1081	63092.945421	0.136682
653	68029180.00	273	249191.135531	0.181425
462	65498039.00	689	95062.465893	0.188065
357	64463887.00	707	91179.472419	0.148924
303	64135540.00	2072	30953.445946	0.135270
656	63203670.00	426	148365.422535	0.172118
974	62009274.00	425	145904.174118	0.199581
87	60898962.00	1210	50329.720661	0.111998
73	60871093.00	961	63341.407908	0.172288
829	59358151.00	359	165343.038997	0.166186
28	59175367.00	222	266555.707207	0.189250
562	58422864.00	1023	57109.348974	0.167304
179	56429864.00	2013	28032.719324	0.177785
988	55267727.00	744	74284.579301	0.159291
951	55175312.00	2695	20473.214100	0.175243
380	53755147.00	627	85733.886762	0.158197
436	53367371.00	904	59034.702434	0.131471
880	51547667.00	1201	42920.621982	0.149837
477	51473024.00	341	150947.284457	0.157964
737	50996642.00	538	94789.297398	0.161340
306	50957286.00	577	88314.187175	0.150657
565	49265778.00	1184	41609.609797	0.148256
945	48974731.00	1656	29574.112923	0.345093
355	46376202.00	674	68807.421365	0.127197
386	45341794.00	903	50212.396456	0.125714
181	44799409.00	844	53079.868483	0.142482
195	44723931.00	1801	24832.832315	0.140428
713	44349118.00	777	57077.371943	0.163798
708	44109011.00	591	74634.536379	0.121023
319	44013845.00	281	156632.900356	0.203221
250	43820482.00	325	134832.252308	0.131473
33	43606765.00	701	62206.512126	0.196436
827	42000969.00	337	124631.955490	0.159227
707	41458541.00	366	113274.702186	0.124575
743	41295703.00	592	69756.255068	0.109019
32	40601705.00	505	80399.415842	0.187251
864	40136049.00	869	46186.477560	0.125512
272	40011102.00	393	101809.419847	0.164764
564	38339251.00	560	68462.948214	0.149259
838	38058797.00	588	64725.845238	0.268707
918	36936984.00	1161	31814.801034	0.181800
742	35817226.00	418	85687.143541	0.148074
93	35229231.00	825	42702.098182	0.126956
68	35128571.00	606	57967.938944	0.095647
84	34584702.00	686	50415.017493	0.127968
558	34216823.00	998	34285.393788	0.164137
227	32638540.00	186	175476.021505	0.186060
501	32531115.00	404	80522.561881	0.144326
379	30767681.00	1144	26894.826049	0.133284
958	30343497.00	198	153249.984848	0.197998
694	30276821.00	757	39995.800528	0.122807
518	29270693.00	147	199120.360544	0.144828
260	28967210.00	161	179920.559006	0.160436
335	28953556.00	268	108035.656716	0.216140
935	28461058.00	331	85985.069486	0.201265
407	28139896.00	285	98736.477193	0.172788
623	28002262.00	380	73690.163158	0.161973
620	27960087.00	360	77666.908333	0.138585
684	27445551.00	1179	23278.669211	0.140155
381	27217013.00	508	53576.797244	0.128006
261	27184630.00	284	95720.528169	0.148148
221	27089096.00	185	146427.545946	0.203358
368	26971265.00	351	76841.210826	0.149210
204	26941927.00	619	43524.922456	0.121099
385	25298305.00	252	100390.099206	0.130378
579	23510379.00	129	182251.000000	0.137293
37	22636628.00	135	167678.725926	0.152565
604	22307386.00	313	71269.603834	0.159536
835	21828431.00	176	124025.176136	0.185420
628	21790410.00	80	272380.125000	0.122555
820	21521413.00	53	406064.396226	0.153275
740	21355474.00	248	86110.782258	0.148978
866	21270687.00	417	51008.841727	0.136377
423	20523781.00	39	526250.794872	0.095472
474	20283411.00	113	179499.212389	0.149836
622	20264273.00	117	173198.914530	0.147066
546	19982935.00	403	49585.446650	0.190844
607	19971889.00	544	36713.031250	0.160604
123	19590409.00	390	50231.817949	0.121033
395	19478008.00	575	33874.796522	0.113530
446	18787402.00	463	40577.542117	0.114478
669	18730595.00	239	78370.690377	0.141379
577	18488909.00	117	158024.863248	0.166345
142	18149536.00	249	72889.702811	0.160779
843	18071889.00	143	126376.846154	0.134837
34	17862242.00	161	110945.602484	0.223416
560	17772559.00	942	18866.835456	0.532936
144	17698939.00	163	108582.447853	0.141162
125	17390797.00	420	41406.659524	0.147242
814	17382124.00	161	107963.503106	0.237679
627	16904119.00	214	78991.210280	0.101017
251	16701431.00	213	78410.474178	0.135382
486	15998429.00	147	108832.850340	0.127037
187	15504863.00	370	41905.035135	0.162294
55	15393001.00	184	83657.614130	0.104858
458	15193615.00	134	113385.186567	0.228329
655	15057329.00	180	83651.827778	0.199651
826	14919110.00	64	233111.093750	0.197303
301	14764696.00	468	31548.495726	0.138667
475	14731781.00	147	100216.197279	0.155129
440	14361063.00	375	38296.168000	0.091571
615	14252563.00	175	81443.217143	0.151096
865	14016727.00	208	67388.110577	0.182775
571	13870125.00	222	62478.040541	0.171707
539	13381578.00	154	86893.363636	0.169159
824	13128299.00	119	110321.840336	0.162136
192	12812361.00	556	23043.814748	0.156630
717	12567179.00	109	115295.220183	0.114441
353	12515206.00	70	178788.657143	0.144238
581	12258322.00	91	134706.835165	0.072347
592	12128753.00	128	94755.882813	0.160035
696	12007485.00	379	31682.018470	0.136811
629	11710623.00	162	72287.796296	0.225094
307	11480985.00	184	62396.657609	0.120478
153	11108588.00	350	31738.822857	0.138540
31	11015792.00	74	148862.054054	0.223008
351	10784217.00	112	96287.651786	0.120890
881	10703805.00	669	15999.708520	0.316026
557	10650658.00	157	67838.585987	0.156660
867	10520197.00	261	40307.268199	0.283079
277	10156632.00	35	290189.485714	0.114958
155	10005501.00	192	52111.984375	0.123572
158	9710617.00	228	42590.425439	0.150091
511	9490517.00	116	81814.801724	0.139185
544	9464562.00	350	27041.605714	0.152423
157	9420579.00	76	123954.986842	0.116395
6	9218398.00	25	368735.920000	0.099997
748	9105359.00	88	103469.988636	0.080284
42	9058333.00	107	84657.317757	0.146257
883	8782419.00	116	75710.508621	0.142290
488	8759239.00	112	78207.491071	0.167765
89	8727339.00	111	78624.675676	0.097500
337	8516421.00	139	61269.215827	0.155200
146	8487349.00	60	141455.816667	0.133175
555	8332547.00	78	106827.525641	0.152369
496	8129105.00	91	89330.824176	0.178813
574	7781756.00	81	96071.061728	0.225118
983	7735648.00	68	113759.529412	0.125329
97	7570798.00	37	204616.162162	0.179618
940	7478750.00	63	118710.317460	0.131546
815	7463273.00	127	58765.929134	0.262508
559	6909992.00	215	32139.497674	0.506874
902	6767227.00	70	96674.671429	0.172893
828	6578739.00	76	86562.355263	0.158606
975	6351154.00	88	72172.204545	0.198104
741	6094583.00	92	66245.467391	0.143627
626	6087933.00	86	70789.918605	0.155493
606	5982738.00	52	115052.653846	0.115697
570	5848187.00	42	139242.547619	0.184645
154	5846507.00	40	146162.675000	0.130142
914	5782150.00	135	42830.740741	0.149506
369	5670816.00	94	60327.829787	0.135832
222	5636389.00	20	281819.450000	0.141601
894	5629962.00	849	6631.286219	0.447064
489	5591266.00	146	38296.342466	0.187805
553	5524567.00	94	58771.989362	0.183498
152	5442164.00	80	68027.050000	0.138419
225	5400586.00	20	270029.300000	0.120675
573	5390420.00	40	134760.500000	0.222057
540	5285166.00	91	58078.747253	0.165710
168	5217752.00	69	75619.594203	0.153619
311	5149765.00	112	45980.044643	0.096415
849	4985646.00	55	90648.109091	0.218307
296	4941337.00	75	65884.493333	0.166145
593	4745985.00	112	42374.866071	0.165911
203	4667973.00	127	36755.692913	0.113663
639	4659181.00	140	33279.864286	0.112582
348	4612985.00	60	76883.083333	0.124460
30	4594116.00	16	287132.250000	0.079071
755	4475762.00	85	52656.023529	0.159578
502	4448852.00	55	80888.218182	0.137547
185	4389505.00	131	33507.671756	0.134081
754	4361495.00	41	106377.926829	0.145359
585	4267558.00	28	152412.785714	0.059537
645	4261398.00	128	33292.171875	0.133098
949	4233827.00	345	12271.962319	0.685151
415	4189847.00	52	80573.980769	0.193379
734	4073324.00	31	131397.548387	0.134264
822	3890093.00	54	72038.759259	0.130151
868	3681872.00	101	36454.178218	0.186405
465	3670564.00	61	60173.180328	0.189674
320	3632599.00	39	93143.564103	0.203432
744	3556510.00	35	101614.571429	0.113774
245	3501658.00	11	318332.545455	0.084124
212	3349595.00	12	279132.916667	0.224582
596	3343771.00	41	81555.390244	0.117741
145	3234170.00	59	54816.440678	0.152385
746	3203096.00	39	82130.666667	0.139447
140	3110401.00	11	282763.727273	0.138737
839	3099405.00	65	47683.153846	0.274239
686	3084792.00	39	79097.230769	0.146913
663	3039221.00	30	101307.366667	0.104600
102	2953164.00	57	51809.894737	0.124697
913	2867208.00	63	45511.238095	0.204746
904	2861862.00	12	238488.500000	0.184021
666	2822148.00	29	97315.448276	0.109602
668	2793628.00	21	133029.904762	0.118113
821	2729579.00	50	54591.580000	0.343318
324	2716427.00	25	108657.080000	0.219124
479	2581554.00	11	234686.727273	0.076061
941	2505732.00	12	208811.000000	0.096236
842	2478754.00	22	112670.636364	0.072026
616	2456670.00	22	111666.818182	0.179993
687	2447564.00	44	55626.454545	0.125175
662	2409440.00	12	200786.666667	0.086790
384	2396735.00	42	57065.119048	0.089284
728	2381749.00	65	36642.292308	0.135733
946	2349098.00	294	7990.129252	0.584971
232	2250897.00	15	150059.800000	0.247915
934	2179393.00	28	77835.464286	0.226135
561	2115893.00	435	4864.121839	0.837165
700	2092864.00	49	42711.510204	0.102287
726	1994380.00	60	33239.666667	0.140230
80	1943915.00	61	31867.459016	0.301018
113	1942465.00	32	60702.031250	0.289350
882	1941554.00	186	10438.462366	0.363170
342	1931685.00	23	83986.304348	0.119624
642	1887065.00	53	35605.000000	0.314367
302	1782782.00	45	39617.377778	0.154059
72	1734157.00	48	36128.270833	0.111208
339	1725459.00	11	156859.909091	0.106744
929	1722467.00	13	132497.461538	0.127394
512	1712773.00	22	77853.318182	0.123693
13	1637355.00	13	125950.384615	0.139999
344	1609252.00	13	123788.615385	0.132088
505	1606122.00	14	114723.000000	0.092227
78	1597730.00	24	66572.083333	0.090674
259	1562645.00	13	120203.461538	0.105126
844	1496881.00	23	65081.782609	0.127890
343	1471863.00	22	66902.863636	0.089011
747	1378029.00	27	51038.111111	0.107512
116	1367794.00	22	62172.454545	0.182987
197	1361813.00	40	34045.325000	0.284229
714	1346597.00	30	44886.566667	0.120220
115	1333942.00	14	95281.571429	0.136549
497	1289337.00	37	34846.945946	0.234579
352	1235001.00	18	68611.166667	0.144728
487	1229296.00	11	111754.181818	0.124391
619	1204240.00	31	38846.451613	0.390583
88	1175996.00	16	73499.750000	0.158283
151	1159061.00	36	32196.138889	0.143956
939	1142459.00	11	103859.909091	0.203905
722	1128747.00	11	102613.363636	0.161124
916	994142.00	34	29239.470588	0.139109
420	991865.00	11	90169.545455	0.211504
504	968335.00	23	42101.521739	0.251710
121	943845.00	17	55520.294118	0.178899
909	843417.00	25	33736.680000	0.239671
414	802189.00	12	66849.083333	0.348569
749	795283.00	11	72298.454545	0.172702
373	770346.00	27	28531.333333	0.123532
59	732894.00	33	22208.909091	0.283037
578	663060.00	11	60278.181818	0.221689
98	636628.00	11	57875.272727	0.267825
77	635695.00	14	45406.785714	0.191116
316	562899.00	22	25586.318182	0.167659
736	557960.00	12	46496.666667	0.407478
293	358973.00	28	12820.464286	0.193422
923	329954.00	18	18330.777778	0.281132
534	243586.00	12	20298.833333	0.143015
831	173690.00	17	10217.058824	0.494021
513	83544.00	19	4397.052632	0.774453
